collar_id,property,value,below_detection
1000000,As,98.4000015258789,f
1000000,Au,8.900000102585182e-05,f
1000000,Cu,83.5,f
1000000,Ni,443,f
1000000,Pb,18,f
1000000,Sb,3.380000114440918,f
1000001,As,14.399999618530273,f
1000001,Au,0.824999988079071,f
1000001,Cu,83,f
1000001,Ni,502,f
1000001,Pb,16,f
1000001,Pd,0.009999999776482582,f
1000001,Pt,0.004999999888241291,f
1000001,Sb,0.4000000059604645,f
1000002,As,37,f
1000002,Au,2.099999983329326e-05,f
1000002,Cu,76.5,f
1000002,Ni,409,f
1000002,Pb,15,f
1000002,Sb,1.1200000047683716,f
1000003,As,43.400001525878906,f
1000003,Au,0.9269999861717224,f
1000003,Cu,80,f
1000003,Ni,356,f
1000003,Pb,17,f
1000003,Pd,0.004999999888241291,f
1000003,Pt,0.004999999888241291,f
1000003,Sb,1.7999999523162842,f
1000004,As,171,f
1000004,Au,0.00012700000661425292,f
1000004,Cu,92,f
1000004,Ni,386,f
1000004,Pb,93,f
1000004,Sb,1.9199999570846558,f
1000005,As,38.20000076293945,f
1000005,Au,6.28000020980835,f
1000005,Cu,76.5,f
1000005,Ni,341,f
1000005,Pb,16,f
1000005,Pd,0.004999999888241291,f
1000005,Pt,0.004999999888241291,f
1000005,Sb,1.2999999523162842,f
1000006,As,40.400001525878906,f
1000006,Au,3.009999990463257,f
1000006,Cu,108,f
1000006,Ni,351,f
1000006,Pb,18,f
1000006,Pd,0.004999999888241291,f
1000006,Pt,0.004999999888241291,f
1000006,Sb,1.440000057220459,f
1000007,As,38,f
1000007,Au,0.0001049999991664663,f
1000007,Cu,81,f
1000007,Ni,396,f
1000007,Pb,21,f
1000007,Sb,1.7400000095367432,f
1000008,As,34.599998474121094,f
1000008,Au,4.600000102072954e-05,f
1000008,Cu,88.5,f
1000008,Ni,427,f
1000008,Pb,23,f
1000008,Sb,1.6200000047683716,f
1000009,As,39.20000076293945,f
1000009,Au,0.00016599999798927456,f
1000009,Cu,85,f
1000009,Ni,341,f
1000009,Pb,24,f
1000009,Sb,1.8600000143051147,f
1000010,As,29.600000381469727,f
1000010,Au,0.7210000157356262,f
